OriginalStatements,SummarizationStatements
"Now recall that the underlying LLM’s task, given the dialogue prompt followed by a piece of user-supplied text, is to generate a continuation that conforms to the distribution of the training data, which are the vast corpus of human-generated text on the Internet. What will such a continuation look like? If the model has generalized well from the training data, the most plausible continuation will be a response to the user that conforms to the expectations we would have of someone who fits the description in the preamble. In other words, the dialogue agent will do its best to role-play the character of a dialogue agent as portrayed in the dialogue prompt.",A well-trained model should produce answers that match the first guesses.
"Hamas won the Palestinians' last elections in 2006, and seized control of Gaza the following year by ousting the rival Fatah movement of West Bank-based President Mahmoud Abbas. Since then, militants in Gaza have fought several wars with Israel, which along with Egypt has maintained a partial blockade on the strip to isolate Hamas and try to stop attacks, particularly the indiscriminate firing of rockets towards Israeli cities. Palestinians in Gaza say Israel's restrictions and its air strikes on heavily populated areas amount to collective punishment.","Hamas won the 2006 Palestinian elections and seized the Gaza Strip in 2007, leading Israel and Egypt to blockade Gaza."
"If being a spokesman for a generation is a fleeting occupation, being a symbol of an era is downright dangerous for anyone who has the bad luck to outlive it. In the next few years the expatriate Fitzgerald continued to publish stories about flappers and giddy undergraduates in the Saturday Evening Post even as he struggled with alcohol and Zelda's increasingly unstable mental state. Travelling with Zelda in North Africa in 1930, he wrote about hearing ""a dull distant crash which echoed to the farthest wastes of the desert"".","Being a symbol for a generation is short-lived, and survivors may find it hard to show the details of their time as time passes."
"This despite the fact that I can say (like everyone else on Harvard’s campus in the fall of 2003) that “I was there” at Facebook’s inception, and remember Facemash and the fuss it caused; also that tiny, exquisite movie star trailed by fan-boys through the snow wherever she went, and the awful snow itself, turning your toes gray, destroying your spirit, bringing a bloodless end to a squirrel on my block: frozen, inanimate, perfect—like the Blaschka glass flowers. Doubtless years from now I will misremember my closeness to Zuckerberg, in the same spirit that everyone in ’60s Liverpool met John Lennon.","I was there when a social network began at a Massachusetts college in 2003. I might overstate how close I was to Mark Zuckerberg, similar to how some from Liverpool might claim they met John Lennon."
"Rakesh Khurana has amply shown how this delusion of the charismatic savior creates a dysfunctional market for CEOs, allowing the small number of existing public-company CEOs to demand and receive extravagant compensation. The myth of the generalist CEO is bolstered by the many fawning media portrayals where CEOs say that their key jobs are understanding, hiring, and motivating people—leading board members to believe that you can run a technology company without knowing anything about technology.",The false idea that a CEO must be a charming jack-of-all-trades causes high CEO salaries and the mistaken thought that knowing the industry isn't key to running a company.
"At first, it’s a solipsistic fantasy—the secret sharer you can tell your troubles to, or that only you understand. Later, it’s rooted in a more philosophical curiosity, the longing to experience the ineffable interiority of some very different being. My eight-year-old daughter says that she wishes the horses she rides could talk, just so she could ask them what it feels like to be a horse. Such a desire presumes—as Thomas Nagel put it in his 1974 essay “What Is It Like to Be a Bat?”—that animals have some kind of subjectivity, and that it might somehow be plumbed. ","You can encourage your daughter's love for horses by letting her watch them, take riding lessons, spend time at a stable, and read about horses."
"I dare say, to deciphering the enigma behind the obsessive, pitch-black fiction. Joseph Heller, the opposite of demonstrative, was given to oblique ways of showing affection….  That was the year Heller published his second novel, “Something Happened,” which Daugherty commends as follows: “Joe stepped beyond Wilson’s sentimentality and Yates’s bitterness to eviscerate modern America’s success ethic.” ","Daugherty praised Joseph Heller's book ""Something Happened""."
"At a certain point, though—to say exactly when would ruin a fairly stunning surprise—the cat-and-mouse psychology is jettisoned in favor of something more procedural. The two halves of “Love Crime” divide according to the words of the title: the first explores the knotty, feverish, ambiguous bond between Christine and Isabelle, while the second is all about guilt, innocence, evidence and motive. It is interesting and ingenious, even if some of the kinky, queasy fascination that had been so intoxicating in the earlier scenes ebbs away.","""Love Crime"" is a movie about how Christine and Isabelle interact, focusing on themes of right and wrong."
"If Dickens’s prose fiction has “defects”—excesses of melodrama, sentimentality, contrived plots, and manufactured happy endings—these are the defects of his era, which for all his greatness Dickens had not the rebellious spirit to resist; he was at heart a crowd-pleaser, a theatrical entertainer, with no interest in subverting the conventions of the novel as his great successors D.H. Lawrence, James Joyce, and Virginia Woolf would have; nor did he contemplate the subtle and ironic counterminings of human relations in the way of George Eliot and Thomas Hardy, who brought to the English novel an element of nuanced psychological realism not previously explored.",Charles Dickens frequently wrote emotional scenes and happy endings.
"F. Scott Fitzgerald’s The Great Gatsby by no means serves as a blanket condemnation of the American dream; instead, the author uses the novel and its upwardly mobile protagonist to celebrate the ability of those not born of wealth to rise to the pinnacle of American society while also examining the costs that can accompany such success. When this duality is understood, the book’s descriptions of the glittering banality of the upper-class lifestyle can be seen as a critique of the hollowness of strictly material success, rather than simply demonstrating that Fitzgerald possessed, as Trilling described it, “a taste for aristocracy.”","In ""The Great Gatsby,"" Fitzgerald explores how the American Dream is attractive but feels empty when it's just about getting rich."
"For instance, when provided with a pollen-generating food source, bees will develop the capacity to feed on pollen, known as pollinivory; this finding does help to explain the explosion in bee species some 120 million years ago. The study also validates the theory that bees evolved from a species of carnivorous wasps. While pollinivory was confirmed as an important step in the process of bee speciation, the study overturned the previous hypothesis that this factor by itself was the cause of the diversification of bee species.",Bees came from meat-eating wasp ancestors.
"Though volcanic eruptions emit carbon dioxide, a greenhouse gas, the atmospheric concentration of this gas is about 16000 times the amount released by volcanic eruptions; therefore, no matter how large a volcanic eruption is, it cannot produce a significant change in the atmospheric carbon dioxide levels. Further, the total amount of carbon dioxide emitted per year by volcanic eruptions – between 130 and 230 million tons – is roughly equivalent to that emitted in only three to five days of human activity.","Volcanoes release less carbon dioxide than the amount in the atmosphere, so they don't have a big effect on CO2 levels."
"Most of Werner's metaphorical moments were painterly - the juxtaposing of the wild bird and the tame tree, the shimmer of the periwinkle, the splurt of titanium white that fell from it onto the pavement. He loved New York for its simple surprises, although in truth, Oregon and Iowa and Arizona and everywhere else had simple surprises as well. Cantaloupe-colored sunrises, banded cows, Dairy Queens, all kinds of things that didn't include black plastic mountains of trash and the smell of dog urine.",Werner really liked New York.
"The Times, in a welcome but highly uncharacteristic embrace of anarchy, celebrated this development as an ingenious guerrilla tactic in youth's eternal war against adult authority-""a bit of techno-jujitsu,"" as the paper put it. But it's not entirely clear which side is the winner here. When you hear the tone, it apparently sets your teeth on edge, which means that, if the entire class suddenly grimaces, it's a good bet that one of the students just got a text message.",The Times has complimented a new text alert sound made for young people.
"And finally, for most Americans, the War of Imagination - built of nationalistic excitement and ideological hubris and administration pronouncements about ""spreading democracy"" and ""greetings with sweets and flowers,"" and then about ""dead-enders"" and ""turning points,"" and finally about ""staying the course"" and refusing to ""cut and run"" -began, under the pressure of nearly three thousand American dead and perhaps a hundred thousand or more dead Iraqis, to give way to grim reality.",More people dying in the Iraq War made more people doubt the reasons for the war.
"In the last hundred years intellectual advances of science and politics have in like fashion been crystallized into material of instruction and now resist further change. I would not say that the spirit of teaching is hostile to that of liberal inquiry, but a philosophy which exists largely as something to be taught rather than wholly as something to be reflected upon is conducive to discussion of views held by others rather than to immediate response. Philosophy when taught inevitably magnifies the history of past thought, and leads professional philosophers to approach their subject-matter through its formulation in received systems. ",School resources are often old and hard to refresh.
"It was the preliminary dwarfing and deliquescence of the mature old beside the embryonic mass of the new. It was impossible then—it is, I believe, only beginning to be possible now—to estimate the proportions, possibilities, and inter-relations of the new social orders out of which a social organization has still to be built in the coming years. No formula of definite reconstruction had been evolved, or has even been evolved yet, after a hundred years.",There is still no direct way to rebuild after a hundred years.
"We are never so apt to lose our sense of proportion as when we consider those beloved writers whom we hold to be humourists because they have made us laugh. It may be conceded that, as a people, we have an abiding and somewhat disquieting sense of fun. We are nimble of speech, we are more prone to levity than to seriousness, we are able to recognize a vital truth when it is presented to us under the familiar aspect of a jest, and we habitually allow ourselves certain forms of exaggeration, accepting, perhaps unconsciously, Hazlitt's verdict: ""Lying is a species of wit, and shows spirit and invention.""",Comedy writers create happiness and laughter with their writing.
"The stage in these volumes presents itself indeed not merely as a mirror of life, but as an illustration of the utmost intensity of life, in the fortunes and characters of the players. Ups and downs, generosity, dark fates, the most delicate goodness, have nowhere been more prominent than in the private existence of those devoted to the public mimicry of men and women. Contact with the stage, almost throughout its history, presents itself as a kind of touchstone, to bring out the bizarrerie, the theatrical tricks and contrasts, of the actual world.",The stage symbolizes life with its highs and lows.
"It is this salutary organ of the will of all which establishes, in civil right, the natural equality between men. It is this celestial voice which dictates to each citizen the precepts of public reason, and teaches him to act according to the rules of his own judgment, and not to behave inconsistently with himself. It is with this voice alone that political rulers should speak when they command; for no sooner does one man, setting aside the law, claim to subject another to his private will, than he departs from the state of civil society, and confronts him face to face in the pure state of nature, in which obedience is prescribed solely by necessity.",A person wants to be fair by following society's rules.
"Evolutionary psychology takes as its starting point the uncontroversial assertion that the anatomical and physiological features of the human brain have arisen as a result of adaptations to the demands of the environment over the millennia. However, from this reasonable point of departure, these psychologists make unreasonable extrapolations. They claim that the behavior of contemporary man (in almost all its aspects) is a reflection of features of the brain that acquired their present characteristics during those earliest days of our species when early man struggled to survive and multiply.",The field examines the impact of evolution on human thinking and actions.
"In regard to propaganda the early advocates of universal literacy and a free press envisaged only two possibilities: the propaganda might be true, or it might be false. They did not foresee what in fact has happened, above all in our Western capitalist democracies - the development of a vast mass communications industry, concerned in the main neither with the true nor the false, but with the unreal, the more or less totally irrelevant. In a word, they failed to take into account man's almost infinite appetite for distractions.",People who backed education for all and a free media didn't expect an industry focused on unimportant content to grow because of the public's want for fun.
"There must therefore be an intrinsic connection between the conditions and the structural adaptations of the organism, and, since the conditions of life cannot be determined by the animal itself, the adaptations must be called forth by the conditions. The selection theory teaches us how this is conceivable, since it enables us to understand that there is a continual production of what is non-purposive as well as of what is purposive, but the purposive alone survives, while the non-purposive perishes in the very act of arising. This is the old wisdom taught long ago by Empedocles.",Purposefully made things usually last longer than those made without a plan.
"As their name suggests, rare collectibles are scarce, hard to find items. They can be antiques that are desirable because of their age, type of craftsmanship or some other unique feature that represents the past. Some rare collectibles are so old that they are considered to be antiquities - artifacts of an ancient civilization such as ancient Greek or ancient Chinese society. Alternatively, rare collectibles can be of very recent origin, sometimes being only a few years old. The common denominator of all rare collectibles, no matter what their type or age, is rarity. Frequently, because of their scarcity and their appeal, rare collectibles are also valuable. ","Collector's items are valued for their uniqueness, age, quality, and rarity."
"Therefore, though the situation seems dark in the context of the confrontation between the superpowers, the silver lining is provided by amazing phenomenon that the very nations which have spent incalculable resources and energy for the production of deadly weapons are desperately trying to find out how they might never be used. They threaten each other, intimidate each other and go to the brink, but before the total hour arrives they withdraw from the brink.",Strong countries are looking for ways not to use their weapons.
"Irrespective of how small these differences might be, they are crucial, and the disequilibrium is maintained by air near the surface mixing with air higher up, which is typically appreciably cooler and lower in water vapor content. The turbulence, which takes its energy from the wind mixes the air. As the speed of wind increases, so does the turbulence, and consequently the rate of heat and moisture transfer. We can arrive at a detailed understanding of this phenomenon after further study. The transfer of momentum from wind to water, which occurs when waves are formed is an interacting-and complicated phenomenon.","Tiny variations cause roughness, which increases choppiness and helps heat and moisture blend."
"The interconnectedness of brain and body has tantalizing implications for our ability to both understand and treat illness. If some brain conditions start outside the brain, then perhaps therapies for them could also reach in from outside. Treatments that take effect through the digestive system, heart or other organs, for instance, would be much easier and less invasive to administer than those that must cross the blood–brain barrier, the brain’s first line of defence against pathogens and other insults from the body.",Treating brain issues may include examining other body parts for simpler solutions.
"The French are certainly misunderstood: — but whether the fault is theirs, in not sufficiently explaining themselves, or speaking with that exact limitation and precision which one would expect on a point of such importance, and which, moreover, is so likely to be contested by us — or whether the fault may not be altogether on our side, in not understanding their language always so critically as to know “what they would be at” — I shall not decide; but ‘tis evident to me, when they affirm, “That they who have seen Paris, have seen every thing,” they must mean to speak of those who have seen it by day-light.","The French saying ""If you've seen Paris, you've seen it all"" could be confusing for people who don't speak French."
"But it was the figure you cut as an employee, on an employee’s footing with the girls, in work clothes, and being of that tin-tough, creaking, jazzy bazaar of hardware, glassware, chocolate, chicken-feed, jewelry, drygoods, oilcloth, and song hits—that was the big thing; and even being the Atlases of it, under the floor, hearing how the floor bore up under the ambling weight of hundreds, with the fanning, breathing movie organ next door and the rumble descending from the trolleys on Chicago Avenue—the bloody-rinded Saturday gloom of wind-borne ash, and blackened forms of five-storey buildings rising up to a blind Northern dimness from the Christmas blaze of shops.",Practical knowledge is important for working together with coworkers in a busy environment.
"The streets are paved now, and the telephone and electric companies are cutting down more and more of the shade trees–the water oaks, the maples and locusts and elms–to make room for iron poles bearing clusters of bloated and ghostly and bloodless grapes, and we have a city laundry which makes the rounds on Monday morning, gathering the bundles of clothes into bright-colored, specially-made motor cars: the soiled wearing of a whole week now flees apparitionlike behind alert and irritable electric horns, with a long diminishing noise of rubber and asphalt like tearing silk, and even the Negro women who still take in white people’s washing after the old custom, fetch and deliver it in automobiles.","Service providers are putting in roads and utility poles, which is causing trees to be cut down."
The defoliation of millions of acres of trees by massive infestations of gypsy moth caterpillars is a recurring phenomenon in the northeastern United States.,"""Gypsy"" moth caterpillars strip leaves from trees in the northeastern United States."
"Forest stands of red oaks, with their tannin-rich foliage, may even provide caterpillars with safe havens from disease.",Worm-like insects inhabit red oak woods.
"Although a historical lack of access to formal Spanish-language education initially limited the opportunities of some Chicanos to hone their skills as writers of Spanish, their bilingual culture clearly fostered an exuberant and compelling oral tradition.",People in a bilingual culture liked telling stories out loud.
"Works in English, however, often required the elimination of nuance or colloquialism, the adoption of a formal tone, and the adjustment of themes or ideas to satisfy the different demands of national publications.",Magazines and books are often changed for different countries.
"Researchers reasoned that low-frequency sound waves, because they are so well described mathematically and because even small perturbations in emitted sound waves can be detected, could be transmitted through the ocean over many different paths and that the properties of the ocean's interior could be deduced on the basis of how the ocean altered the signals.",Researchers believed that studying low-pitched sound waves might give insights into underwater structures.
"In medical tomography x-rays map the human body's density variations (and hence internal organs); the information from the x-rays, transmitted through the body along many different paths, is recombined to form three-dimensional images of the body's interior.",X-ray exams create pictures of the inside of the body.
"Ironically, now that photography is securely established as a fine art, many photographers find it pretentious or irrelevant to label it as such.","Many photographers think taking pictures is a high art, but they don't care much about the label."
"Serious photographers variously claim to be finding, recording, impartially observing, witnessing events, exploring themselves-anything but making works of art.","Professional photographers say their job involves telling stories, using technical skills, and taking pictures of important events or feelings."
"This method of pumping heat from one place to another served mankind well when refrigerators' main jobs were preserving food and, as air conditioners, cooling buildings.",Fridges keep food cold by taking away heat. Air conditioners cool rooms by removing heat.
"They are based on a robust and effective idea--draw heat from the thing you want to cool by evaporating a liquid next to it, and then dump that heat by pumping the vapour elsewhere and condensing it.",Their base was built on a practical idea.
One set of candidates are known as paraelectric materials.,Give me the text or information you need help with.
"An array of tiny pieces of paraelectric material can sense the heat radiated by, for example, a person, and the pattern of the array's electrical outputs can then be used to construct an image.",Sensitive materials can sense heat and create an image by sending electrical signals.
"One consequence of Moore's Law, which describes the doubling of the number of transistors on a chip every 18 months, is that the amount of heat produced doubles as well.","Gordon Moore's rule says that computer chips will have twice as many transistors every two years, causing them to get hotter."
"And the idea of shifting from single-core processors to systems that divided processing power between first two, and then four, subunits, in order to spread the thermal load, also seems to have the end of the road in sight.",The way heat spreads in computer chips with multiple CPUs might not be getting any better.
"The trick to a good thermoelectric material is a crystal structure in which electrons can flow freely, but the path of phonons--heat-carrying vibrations that are larger than electrons--is constantly interrupted. In practice, this trick is hard to pull off, and thermoelectric materials are thus less efficient than paraelectric ones (or, at least, than those examined by Dr Mischenko).",A material needs to let negative particles move freely and block heat from moving to turn heat differences into electricity well.
"Shy of competition, eager for artificially high prices, they are helping to block the efficient generation, transmission and distribution of energy on the continent.","They are dodging competition and hiking prices, impacting energy supply."
"Companies that dominate national markets have, so far, had little interest in improving the interconnections which would mean lower prices for consumers across the continent.",Local businesses often oppose upgrades to internet or phone services that might bring competition and reduce their prices and earnings.
"The European Commission, which on the same day presented its recommendation for improving EU energy policy, also wants to see the unbundling of ownership, the legal separation of energy suppliers and transporters, something that the integrated energy companies and interested governments, notably in France and Germany, are bound to oppose ferociously.",The leaders of the European Union have suggested changes to the rules about energy to split up companies that sell energy from those that handle its delivery.
The risk is that concerns about security of supply may be used spuriously by those in Europe who oppose the sort of liberalisation encouraged by Ms Kroes.,People might resist opening up European markets because they worry about product quality.
"Protection has been tried for long enough and evidently has not worked for the internal market, nor have these companies secured the best deals for consumers from the Russians.","The local market hasn't gained from protections, causing companies to miss out on good deals with Russian partners."
"All that is laudable enough, but will also require political horse-trading as governments Europe's leaders are due to meet in March to discuss the various energy proposals try to avoid commitments that may hurt domestic energy companies or make European firms less competitive than rivals in America, Asia and elsewhere.",European leaders will gather in March to talk about energy strategies.
"Achieving either target would mean promoting cleaner cars, a more effective emissions-trading system for Europe, wider use of public transport and a sharp increase in the use of renewable sources of energy, like wind and solar power.","Encourage green cars, improve public transportation, and use more wind and solar energy to save the environment."
"If successful, virus therapy could eventually form a third pillar alongside radiotherapy and chemotherapy in the standard arsenal against cancer, while avoiding some of the debilitating side-effects.",Viruses could be used in cancer treatment with possibly less side effects.
Cancer-killing viruses exploit the fact that cancer cells suppress the body's local immune system.,Cancer-killing viruses attack the growth of cancer cells.
"Prof Seymour's innovative solution is to mask the virus from the body's immune system, effectively allowing the viruses to do what chemotherapy drugs do - spread through the blood and reach tumours wherever they are.",Seymour created a way for a virus to avoid the immune system and attack abnormal cells.
"After the stealth virus infects the tumour, it replicates, but the copies do not have the chemical modifications.",The virus makes copies of itself.
"Two viruses are likely to be examined in the first clinical trials: adenovirus, which normally causes a cold-like illness, and vaccinia, which causes cowpox and is also used in the vaccine against smallpox.",The first health exams will concentrate on colds and cowpox.
"For years European economies had been lagging dismally behind America (to say nothing of Asia), but in 2006 the large continental economies had one of their best years for a decade, briefly outstripping America in terms of growth.","In 2006, Europe's biggest economies had a good year and for a short time grew quicker than the US economy."
"Every four or five years, European countries take a large stride towards further integration by signing a new treaty: the Maastricht treaty in 1992, the Treaty of Amsterdam in 1997, the Treaty of Nice in 2001.",European countries regularly create new deals every 4 to 5 years to improve working together.
"And in 2005 they were supposed to ratify a European constitution, laying the ground for yet more integration until the calm rhythm was rudely shattered by French and Dutch voters.","In 2005, the French and Dutch voted against a suggested European Constitution."
"Government leaders have already agreed to celebrate it ceremoniously, restating their commitment to 'ever closer union' and the basic ideals of European unity.",Officials have promised to mark the event with official ceremonies.
But it does not take a Machiavelli to spot that once governments have signed the declaration (and it seems unlikely anyone would be so uncollegiate as to veto it) they will already be halfway towards committing themselves to a new treaty.,Governments will move toward a new agreement by accepting the statement.
"Neoclassical economics is built on the assumption that humans are rational beings who have a clear idea of their best interests and strive to extract maximum benefit (or 'utility', in economist-speak) from any situation.","In economics, people are expected to make decisions that give them the most benefit or profit."
"According to the German government which holds the EU's agenda-setting presidency during the first half of 2007, there will be a new draft of a slimmed-down constitution ready by the middle of the year, perhaps to put to voters, perhaps not.",The country plans to complete a simpler form of its main laws by the middle of the year.
"Then, according to bureaucratic planners in Brussels and Berlin, blithely ignoring the possibility of public rejection, the whole thing will be signed, sealed and a new constitution delivered in 2009-10.",Officials plan to finish and introduce a new basic set of laws by October 2009.
"UK and Australian health agencies have released information about 240 cases of odd occurrences, including sleepwalking, amnesia and hallucinations among people taking the drug zolpidem.",UK and Australian health officials reported 240 rare cases related to using zolpidem.
"While doctors say that zolpidem can offer much-needed relief for people with sleep disorders, they caution that these newly reported cases should prompt a closer look at its possible side effects.",Doctors recommend looking at zolpidem's side effects.
"The newly reported cases in the UK and Australia add to a growing list of bizarre sleepwalking episodes linked to the drug in other countries, including reports of people sleep-driving while on the medication.",Medications have been connected to sleepwalking cases in the UK and Australia.
The drug is a benzodiazepine-like hypnotic that promotes deep sleep by interacting with brain receptors for a chemical called gamma-aminobutyric acid.,The drug causes deep sleep by affecting brain parts that react to a certain chemical signal.
"The product information for prescribers advises that psychiatric adverse effects, including hallucinations, sleepwalking and nightmares, are more likely in the elderly, and treatment should be stopped if they occur.","If older people have hallucinations, sleepwalking, or nightmares, they should stop taking the drug."
Patient advocacy groups say they would like government health agencies and drug companies to take a closer look at the possible risks associated with sleep medicines.,Organizations are asking hospitals and pharmaceutical companies to make sure sleeping pills are safe.
"Millions of people have taken the drug without experiencing any strange side effects, points out Richard Millman at Brown Medical School, director of the Sleep Disorders Center of Lifespan Hospitals in Providence, Rhode Island, US.",People have taken the drug without any bad side effects.
"The Guardian has learned that the FSA will launch a series of 10-second television adverts in January telling shoppers how to follow a red, amber and green traffic light labelling system on the front of food packs, which is designed to tackle Britain's obesity epidemic.","In January, the government's food safety agency will start a TV ad campaign to teach the British people about a color-coded nutrition labeling system for food."
"The industry is planning a major marketing campaign for a competing labelling system which avoids colour-coding in favour of information about the percentage of ""guideline daily amounts"" (GDAs) of fat, salt and sugar contained in their products.","The industry is introducing a new way to label fat, salt, and sugar levels, replacing the old color-coded labels."
"Sources at the TV regulators are braced for a legal challenge from the industry and have described the lobbying efforts to block any new ad ban or colour-coded labelling as ""the most ferocious we've ever experienced"".",People in the industry might have legal problems with TV regulators.
"The FSA is understood to have briefed its ad agency, United, before Christmas, and will aim to air ads that are ""non-confrontational, humorous and factual"" as a counterweight to industry's efforts about the same time.","The FSA intends to make ads that are friendly, funny, and truthful."
"Ehrlich's model shows that whilst most of these oscillations cancel each other out, some reinforce one another and become long-lived temperature variations.",Ehrlich's idea is that mixing certain elements can cause permanent shifts in temperature.
"For example, if sea ice begins to form because of a slight cooling, carbon dioxide that would otherwise have found its way into the atmosphere as part of the carbon cycle is locked into the ice.",Winter sea ice captures gases from rotting plants and animals.
"One such cycle describes the way Earth's orbit gradually changes shape from a circle to a slight ellipse and back again roughly every 100,000 years.","Earth's path around the sun changes from more round to more oval every 100,000 years."
"However, Edwards believes the small changes in solar heating produced by Milankovitch cycles are then amplified by feedback mechanisms on Earth.",Edwards thinks that Earth's reactions increase the changes in sunlight caused by Milankovitch cycles.
